,answer
1,A
2,A
3,B
4,A
5,A
6,B
7,C
8,C
9,B
10,B
11,C
12,A
13,C
14,C
15,B
16,C
17,A
18,B
19,B
20,A
21,A
22,A
23,B
24,A
25,C
26,C
27,A
28,C
29,B
30,B
31,C
32,B
33,B
34,A
35,B
36,A
37,C
38,A
39,C
40,A
41,A
42,B
43,A
44,B
45,C
46,C
47,A
48,A
49,A
50,C
51,A
52,B
53,A
54,C
55,C
56,C
57,B
58,C
59,B
60,C
61,B
62,C
63,B
64,B
65,B
66,C
67,A
68,A
69,B
70,A
71,A
72,B
73,B
74,B
75,A
76,C
77,C
78,B
79,C
80,A
81,A
82,B
83,A
84,C
85,B
86,A
87,C
88,C
89,B
90,A
91,C
92,A
93,C
94,C
95,B
96,A
97,A
98,B
99,B
100,C
101,C
102,C
103,B
104,C
105,A
106,B
107,A
108,C
109,A
110,A
111,C
112,A
113,C
114,B
115,B
116,C
117,B
118,B
119,C
120,A
121,C
122,C
123,B
124,A
125,A
126,C
127,A
128,C
129,A
130,B
131,B
132,A
133,A
134,C
135,A
136,B
137,C
138,C
139,B
140,B
141,A
142,B
143,C
144,B
145,A
146,A
147,C
148,A
149,C
150,A
151,C
152,C
153,A
154,C
155,B
156,B
157,A
158,B
159,A
160,B
161,A
162,A
163,C
164,B
165,B
166,A
167,A
168,A
169,C
170,C
171,B
172,A
173,A
174,A
175,A
176,A
177,C
178,A
179,C
180,C
181,C
182,B
183,B
184,B
185,C
186,A
187,B
188,B
189,C
190,A
191,B
192,A
