,answer
1,B
2,B
3,A
4,A
5,A
6,B
7,C
8,C
9,B
10,C
11,A
12,A
13,C
14,C
15,B
16,B
17,B
18,A
19,B
20,B
21,A
22,C
23,C
24,C
25,C
26,A
27,B
28,C
29,C
30,B
31,B
32,B
33,A
34,A
35,A
36,A
37,C
38,A
39,A
40,A
41,A
42,B
43,B
44,C
45,A
46,C
47,C
48,C
49,A
50,A
51,C
52,A
53,C
54,C
55,C
56,B
57,B
58,A
59,B
60,B
61,C
62,B
63,B
64,C
65,C
66,C
67,A
68,C
69,B
70,A
71,A
72,C
73,C
74,C
75,A
76,C
77,C
78,C
79,B
80,B
81,C
82,C
83,A
84,C
85,B
86,C
87,A
88,A
89,C
90,B
91,C
92,C
93,C
94,A
95,A
96,C
97,A
98,A
99,B
100,A
101,C
102,C
103,B
104,A
105,C
106,C
107,C
108,C
109,A
110,A
111,B
112,C
113,A
114,B
115,B
116,C
117,A
118,B
119,C
120,C
121,B
122,A
123,C
124,B
125,A
126,C
127,A
128,C
129,C
130,B
131,C
132,C
133,B
134,C
135,A
136,B
137,A
138,B
139,B
140,C
141,B
142,C
143,A
144,B
145,B
146,A
147,A
148,A
149,A
150,C
151,B
152,A
153,C
154,A
155,A
156,A
157,A
158,C
159,A
160,B
161,B
162,B
163,A
164,A
165,A
166,C
167,A
168,A
169,C
170,C
171,C
172,C
173,A
174,A
175,A
176,C
177,A
178,A
179,C
180,C
181,C
182,A
183,A
184,C
185,C
186,C
187,C
188,B
189,B
190,C
191,B
192,C
