article_id,probability
1,0.624971211
2,0.688670874
3,0.757845342
4,0.611163199
5,0.869317651
6,0.660028994
7,0.579212308
8,0.632078469
9,0.726790011
10,0.583226025
11,0.706109047
12,0.688265085
13,0.797141433
14,0.584775865
15,0.769406497
16,0.605972052
17,1.05156517
18,0.670241237
19,0.73481214
20,0.874919832
21,0.731125891
22,0.624438584
23,0.718829036
24,0.698150992
25,0.751358211
26,0.847266078
27,0.851908922
28,0.775204301
29,0.993624866
30,0.740252495
31,0.73736167
32,0.642375708
33,0.64600563
34,0.675264418
35,0.86207366
36,0.821453393
37,0.78063184
38,0.857918561
39,0.588600218
40,0.545514822
41,0.669014931
42,0.713348269
43,0.953927338
44,0.733315587
45,0.843900859
46,0.788236856
47,0.624308169
48,0.970665932
49,0.635025024
50,0.552423954
51,0.682743728
52,0.677187383
53,0.623180032
54,0.63823092
55,0.732263148
56,0.868533313
57,0.781928658
58,0.712117195
59,0.652681053
60,0.79293859
61,0.714137197
62,0.808473408
63,0.775546789
64,0.825953126
65,0.69701755
66,0.88163203
67,0.765093982
68,0.788690686
69,0.84011507
70,0.563047171
71,0.782930791
72,0.724275172
73,0.624313891
74,0.737867594
75,0.725260317
76,0.770936847
77,0.702695012
78,0.909789681
79,0.797976851
80,0.915395737
81,0.721657455
82,0.628762662
83,0.823297381
84,0.770321786
85,0.678664505
86,0.660211384
87,0.693413198
88,0.818892658
89,0.856560409
90,0.787199497
91,0.935487092
92,0.66335398
93,0.774148941
94,0.878206611
95,0.60180223
96,0.632662594
97,0.680410206
98,0.780132353
99,0.600936413
100,0.818522751
