,answer
1,B
2,B
3,C
4,A
5,A
6,C
7,A
8,A
9,C
10,C
11,C
12,A
13,B
14,C
15,A
16,A
17,C
18,A
19,C
20,A
21,B
22,B
23,B
24,C
25,C
26,C
27,C
28,B
29,B
30,B
31,B
32,C
33,B
34,A
35,C
36,C
37,C
38,A
39,A
40,A
41,A
42,B
43,C
44,B
45,A
46,C
47,C
48,A
49,A
50,A
51,A
52,A
53,C
54,C
55,C
56,A
57,C
58,A
59,B
60,B
61,C
62,A
63,B
64,B
65,C
66,A
67,C
68,A
69,A
70,A
71,A
72,C
73,B
74,C
75,A
76,A
77,C
78,B
79,A
80,C
81,C
82,C
83,A
84,A
85,B
86,C
87,B
88,A
89,B
90,C
91,A
92,B
93,C
94,A
95,A
96,C
97,C
98,A
99,B
100,C
101,C
102,B
103,C
104,A
105,A
106,A
107,C
108,C
109,A
110,C
111,A
112,A
113,B
114,C
115,B
116,C
117,A
118,B
119,C
120,C
121,C
122,C
123,B
124,C
125,B
126,C
127,C
128,C
129,C
130,B
131,C
132,C
133,B
134,A
135,B
136,A
137,B
138,A
139,B
140,B
141,C
142,A
143,A
144,C
145,C
146,A
147,A
148,C
149,C
150,A
151,C
152,B
153,A
154,A
155,B
156,A
157,A
158,C
159,A
160,C
161,B
162,A
163,B
164,B
165,B
166,B
167,C
168,A
169,C
170,B
171,C
172,C
173,C
174,A
175,A
176,B
177,A
178,A
179,A
180,C
181,B
182,B
183,A
184,C
185,C
186,C
187,B
188,C
189,B
190,B
191,A
192,A
